user_mail,command,time
stijn@mail.be,login,2020-04-28 14:13:38.167202
stijn@mail.be,random,2020-04-28 14:13:38.184190
stijn@stijn.stijn,login,2020-04-28 14:14:10.159317
stijn@stijn.stijn,random,2020-04-28 14:14:10.174256
stijn.stijn@stijn,login,2020-04-28 14:15:20.033615
stijn.stijn@stijn,random,2020-04-28 14:15:20.050540
stijn.stijn@stijn,login,2020-04-28 14:15:51.894688
stijn.stijn@stijn,random,2020-04-28 14:15:51.911426
stijn@mail.be,login,2020-04-28 14:16:33.113071
stijn@mail.be,random,2020-04-28 14:16:33.129055
stijn@mail.be,random,2020-04-28 14:16:39.326793
stijn@mail.be,random,2020-04-28 14:16:40.670843
stijn@mail.be,random,2020-04-28 14:16:43.070406
stijn@mail.be,title,2020-04-28 14:16:51.657676
stijn@mail.be,login,2020-04-28 14:18:03.906909
stijn@mail.be,random,2020-04-28 14:18:03.922833
stijn@mail.be,random,2020-04-28 14:18:06.238513
stijn@mail.be,random,2020-04-28 14:18:07.320294
stijn@mail.be,random,2020-04-28 14:18:08.145744
stijn@mail.be,title,2020-04-28 14:18:25.532604
stijn@mail.be,random,2020-04-28 14:18:31.196083
stijn@mail.be,random,2020-04-28 14:18:32.110965
stijn@mail.be,random,2020-04-28 14:18:33.007945
stijn@mail.be,login,2020-04-28 14:19:09.945152
stijn@mail.be,random,2020-04-28 14:19:09.964565
stijn@mail.be,random,2020-04-28 14:19:12.736447
stijn@mail.be,random,2020-04-28 14:19:13.610195
stijn@mail.be,random,2020-04-28 14:19:14.270508
stijn@mail.be,title,2020-04-28 14:19:21.600046
stijn@mail.be,random,2020-04-28 14:19:25.712593
stijn@mail.be,random,2020-04-28 14:19:26.901639
stijn@mail.be,random,2020-04-28 14:19:27.718641
stijn@mail.be,logout,2020-04-28 14:19:30.457113
